date,ward,precinct,race,type,candidate,votes
2019-03-09,02,08,PRES OF BOA DEM,HOUSE VOTES,JAMILAH NASHEED,0
2019-03-09,02,08,PRES OF BOA DEM,HOUSE VOTES,MEGAN GREEN,0
2019-03-09,02,08,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
2019-03-09,02,08,PRES OF BOA DEM,Total,JAMILAH NASHEED,100
2019-03-09,02,08,PRES OF BOA DEM,Total,MEGAN GREEN,10
2019-03-09,02,08,PRES OF BOA DEM,Total,LEWIS REED,61
2019-03-09,03,01,PRES OF BOA DEM,Polling,JAMILAH NASHEED,21
2019-03-09,03,01,PRES OF BOA DEM,Polling,MEGAN GREEN,5
2019-03-09,03,01,PRES OF BOA DEM,Polling,LEWIS REED,8
2019-03-09,03,01,PRES OF BOA DEM,ABSENTEE,JAMILAH NASHEED,2
2019-03-09,03,01,PRES OF BOA DEM,ABSENTEE,MEGAN GREEN,1
2019-03-09,03,01,PRES OF BOA DEM,ABSENTEE,LEWIS REED,1
2019-03-09,03,01,PRES OF BOA DEM,PROVISIONAL,JAMILAH NASHEED,0
2019-03-09,03,01,PRES OF BOA DEM,PROVISIONAL,MEGAN GREEN,0
2019-03-09,03,01,PRES OF BOA DEM,PROVISIONAL,LEWIS REED,0
2019-03-09,03,01,PRES OF BOA DEM,HOUSE VOTES,JAMILAH NASHEED,0
2019-03-09,03,01,PRES OF BOA DEM,HOUSE VOTES,MEGAN GREEN,0
2019-03-09,03,01,PRES OF BOA DEM,HOUSE VOTES,LEWIS REED,0
2019-03-09,03,01,PRES OF BOA DEM,Total,JAMILAH NASHEED,23
2019-03-09,03,01,PRES OF BOA DEM,Total,MEGAN GREEN,6
2019-03-09,03,01,PRES OF BOA DEM,Total,LEWIS REED,9
2019-03-09,03,02,PRES OF BOA DEM,Polling,JAMILAH NASHEED,71
2019-03-09,03,02,PRES OF BOA DEM,Polling,MEGAN GREEN,5
2019-03-09,03,02,PRES OF BOA DEM,Polling,LEWIS REED,40
2019-03-09,03,02,PRES OF BOA DEM,ABSENTEE,JAMILAH NASHEED,5
2019-03-09,03,02,PRES OF BOA DEM,ABSENTEE,MEGAN GREEN,0
2019-03-09,03,02,PRES OF BOA DEM,ABSENTEE,LEWIS REED,5
