stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon
9263,9263,NATURAL BRIDGE @ LAMBDIN EB,NEAR SIDE NATURAL BRIDGE @ LAMBDIN EB,38.668153,-90.232967
8864,8864,GRAVOIS @ ARSENAL WB,FAR SIDE GRAVOIS @ ARSENAL WB,38.600953,-90.232366
7749,7749,GRAVOIS @ HOLLY HILLS EB,NEAR SIDE GRAVOIS @ HOLLY HILLS EB,38.573702,-90.280616
12100,12100,MAIN @ 80TH STREET SB,NEAR SIDE MAIN @ 80TH STREET SB,38.565222,-90.049220
12195,12195,MAIN @ 13TH STREET WB,NEAR SIDE MAIN @ 13TH STREET WB,38.516277,-89.998927
14620,14620,LINDBERGH @ ROBBINS GROVE EB,FAR SIDE LINDBERGH @ ROBBINS GROVE EB,38.817577,-90.270720
14275,14275,ALTON @ MCKENDREE COLLEGE NB,FAR SIDE ALTON @ MCKENDREE COLLEGE NB,38.608236,-89.815058
3634,3634,NORTH FLORISSANT @ AIRPORT SB,FAR SIDE NORTH FLORISSANT @ AIRPORT SB,38.748150,-90.307020
3392,3392,KINGSHIGHWAY @ CONNECTICUT WB,FAR SIDE KINGSHIGHWAY @ CONNECTICUT WB,38.602140,-90.269870
13162,13162,LEBANON @ WOEST BOUL EB,NEAR SIDE LEBANON @ WOEST BOUL EB,38.587444,-90.045821
3949,3949,LEMAY FERRY @ VICTORY NB,FAR SIDE LEMAY FERRY @ VICTORY NB,38.511139,-90.319671
8927,8927,LEONA @ HOLLY HILLS SB,NEAR SIDE LEONA @ HOLLY HILLS SB,38.568002,-90.269657
9477,9477,ARSENAL @ GUSTINE EB,NEAR SIDE ARSENAL @ GUSTINE EB,38.603458,-90.249722
9880,9880,BIG BEND @ BARBERRY EB,FAR SIDE BIG BEND @ BARBERRY EB,38.567085,-90.444094
11891,11891,WEBER @ AGNES SB,NEAR SIDE WEBER @ AGNES SB,38.586781,-89.898311
11611,11611,ILLINOIS @ KASSING SB,FAR SIDE ILLINOIS @ KASSING SB,38.581236,-89.984894
11550,11550,ILLINOIS ROUTE 157 @ PETROFF NB,FAR SIDE ILLINOIS ROUTE 157 @ PETROFF NB,38.615900,-90.044608
16253,16253,MANCHESTER @ EATHERTON EB,NEAR SIDE MANCHESTER @ EATHERTON EB,38.576035,-90.637337
2858,2858,575 COUCH SB,MID-BLOCK 575 COUCH SB,38.572770,-90.425414
4450,4450,WOODSON @ ARGYLE NB,NEAR SIDE WOODSON @ ARGYLE NB,38.706518,-90.361103
6459,6459,BROADWAY @ OSAGE SB,NEAR SIDE BROADWAY @ OSAGE SB,38.582733,-90.227785
5977,5977,NORTH HANLEY @ AHERN NB,FAR SIDE NORTH HANLEY @ AHERN NB,38.668863,-90.331974
5662,5662,LINDBERGH @ MIMOSA NB,FAR SIDE LINDBERGH @ MIMOSA NB,38.527054,-90.369636
9039,9039,GRAVOIS @ JEFFERSON EB,NEAR SIDE GRAVOIS @ JEFFERSON EB,38.604646,-90.223382
8617,8617,UNION @ RIDGE NB,FAR SIDE UNION @ RIDGE NB,38.663501,-90.269618
9397,9397,UNION @ SENATOR COURT SB,NEAR SIDE UNION @ SENATOR COURT SB,38.525509,-90.316895
12038,12038,SMILEY @ 5TH STREET NB,FAR SIDE SMILEY @ 5TH STREET NB,38.587835,-89.902428
12015,12015,LEBANON @ SIR LAWRENCE EB,FAR SIDE LEBANON @ SIR LAWRENCE EB,38.548085,-89.921322
12218,12218,MAIN @ 45TH STREET WB,FAR SIDE MAIN @ 45TH STREET WB,38.540513,-90.023227
16243,16243,LARIMORE @ COAL BANK SB,NEAR SIDE LARIMORE @ COAL BANK SB,38.776887,-90.204297
4210,4210,BIG BEND @ LENOX NB,FAR SIDE BIG BEND @ LENOX NB,38.598493,-90.329426
3691,3691,DUNN @ SUMMER RUN EB,FAR SIDE DUNN @ SUMMER RUN EB,38.771863,-90.293763
7033,7033,DR ML KING @ PRAIRIE WB,FAR SIDE DR ML KING @ PRAIRIE WB,38.649848,-90.229717
6312,6312,THELKA @ RIVERVIEW SB,FAR SIDE THELKA @ RIVERVIEW SB,38.702960,-90.252713
9248,9248,NATURAL BRIDGE @ BELT EB,FAR SIDE NATURAL BRIDGE @ BELT EB,38.681478,-90.263595
9417,9417,UNION @ UNION TERRACE NB,NEAR SIDE UNION @ UNION TERRACE NB,38.526150,-90.316049
9711,9711,PATTERSON @ WIETHAUPT NB,FAR SIDE PATTERSON @ WIETHAUPT NB,38.820959,-90.317702
11521,11521,74TH STREET @ MAGNA SB,FAR SIDE 74TH STREET @ MAGNA SB,38.543801,-90.054339
10943,10943,MAIN @ CHURCH EB,NEAR SIDE MAIN @ CHURCH EB,38.492014,-89.814531
12408,12408,FOREST @ 43TH STREET WB,NEAR SIDE FOREST @ 43TH STREET WB,38.636870,-90.105110
12784,12784,COOKSON @ 43RD STREET WB,FAR SIDE COOKSON @ 43RD STREET WB,38.645275,-90.105310
11856,11856,WEST US-50 @ OLD COLLINSVILLE EB,FAR SIDE WEST US-50 @ OLD COLLINSVILLE EB,38.592604,-89.965891
16015,16015,MORGANFORD @ CONNECTICUT NB,FAR SIDE MORGANFORD @ CONNECTICUT NB,38.601792,-90.261461
3751,3751,WEST FLORISSANT @ HELEN SB,FAR SIDE WEST FLORISSANT @ HELEN SB,38.716040,-90.259430
2885,2885,ADAMS @ KIRKWOOD EB,FAR SIDE ADAMS @ KIRKWOOD EB,38.583204,-90.406121
2576,2576,PAGE @ PAGE INDUSTRIAL EB,NEAR SIDE PAGE @ PAGE INDUSTRIAL EB,38.690886,-90.385398
6847,6847,PARKER @ BENHAM WB,FAR SIDE PARKER @ BENHAM WB,38.795939,-90.231059
6037,6037,NEW FLORISSANT @ DUCHESNE NB,FAR SIDE NEW FLORISSANT @ DUCHESNE NB,38.776378,-90.319162
7073,7073,ST. CHARLES ROCK ROAD @ BROWN WB,FAR SIDE ST. CHARLES ROCK ROAD @ BROWN WB,38.710852,-90.350323
7644,7644,TESSON FERRY @ CONCORD SCHOOL SB,FAR SIDE TESSON FERRY @ CONCORD SCHOOL SB,38.517232,-90.366304
15919,15919,MISSISSIPPI @ FUTURA PLAZA NB,FAR SIDE MISSISSIPPI @ FUTURA PLAZA NB,38.561206,-90.191831
6777,6777,JENNINGS STATION ROAD @ DUENKE WB,FAR SIDE JENNINGS STATION ROAD @ DUENKE WB,38.729307,-90.239055
8711,8711,7601 WATSON WB,MID-BLOCK 7601 WATSON WB,38.576157,-90.330222
9239,9239,NATURAL BRIDGE @ RIDGEDALE EB,NEAR SIDE NATURAL BRIDGE @ RIDGEDALE EB,38.694224,-90.282579
10152,10152,HALLS FERRY @ LUCAS-HUNT NB,FAR SIDE HALLS FERRY @ LUCAS-HUNT NB,38.742894,-90.252169
9834,9834,NEW BALLWIN @ OLD BALDWIN NB,NEAR SIDE NEW BALLWIN @ OLD BALDWIN NB,38.582286,-90.557622
11221,11221,B STREET @ PENNSYLVANIA WB,FAR SIDE B STREET @ PENNSYLVANIA WB,38.516368,-89.972703
11931,11931,LEBANON @ HARTMAN WB,FAR SIDE LEBANON @ HARTMAN WB,38.541295,-89.947189
11419,11419,MORGAN @ CASEYVILLE EB,FAR SIDE MORGAN @ CASEYVILLE EB,38.534006,-89.996923
12351,12351,MAIN @ CHERRY WB,NEAR SIDE MAIN @ CHERRY WB,38.442229,-90.198083
11468,11468,NORTH BELT WEST @ 47TH STREET EB,FAR SIDE NORTH BELT WEST @ 47TH STREET EB,38.541572,-90.034698
11469,11469,5610 NORTH BELT WEST EB,MID-BLOCK 5610 NORTH BELT WEST EB,38.541518,-90.032058
12461,12461,BUNKUM @ 42ND STREET WB,NEAR SIDE BUNKUM @ 42ND STREET WB,38.623511,-90.106111
13858,13858,PAGE @ SPRING WB,NEAR SIDE PAGE @ SPRING WB,38.646740,-90.229030
13020,13020,CAMP JACKSON @ DELORES WB,NEAR SIDE CAMP JACKSON @ DELORES WB,38.550389,-90.134572
14858,14858,16824 CHESTERFIELD AIRPORT EB,MID-BLOCK 16824 CHESTERFIELD AIRPORT EB,38.668241,-90.579552
3471,3471,39TH STREET @ FLAD NB,FAR SIDE 39TH STREET @ FLAD NB,38.611978,-90.245746
3724,3724,SUBURBAN @ GEORGIA EB,NEAR SIDE SUBURBAN @ GEORGIA EB,38.735343,-90.310765
3311,3311,GOODFELLOW @ ETZEL NB,FAR SIDE GOODFELLOW @ ETZEL NB,38.664117,-90.284923
13223,13223,STATE @ WASHINGTON PLACE WB,NEAR SIDE STATE @ WASHINGTON PLACE WB,38.621956,-90.143007
2079,2079,DELMAR @ HANLEY EB,NEAR SIDE DELMAR @ HANLEY EB,38.658670,-90.332428
15924,15924,1432 STRASSNER EB,MID-BLOCK 1432 STRASSNER EB,38.622938,-90.340745
15322,15322,SUMMIT @ KINGSHIGHWAY WB,NEAR SIDE SUMMIT @ KINGSHIGHWAY WB,38.610180,-90.092217
4358,4358,FERGUSON @ RAYMOND NB,FAR SIDE FERGUSON @ RAYMOND NB,38.671681,-90.309483
5182,5182,MANCHESTER @ HENSLER CORDES EB,NEAR SIDE MANCHESTER @ HENSLER CORDES EB,38.592844,-90.532298
7284,7284,RUSSELL @ CALIFORNIA WB,FAR SIDE RUSSELL @ CALIFORNIA WB,38.611843,-90.226452
8397,8397,4000 JENNINGS STATION ROAD NB,FAR SIDE 4000 JENNINGS STATION ROAD NB,38.694771,-90.274670
9476,9476,ARSENAL @ ROGER PLACE EB,NEAR SIDE ARSENAL @ ROGER PLACE EB,38.603740,-90.252526
11874,11874,STATE @ COUNTRYSIDE EB,NEAR SIDE STATE @ COUNTRYSIDE EB,38.592253,-89.925978
11061,11061,MCCLINTOCK @ MISSOURI EB,NEAR SIDE MCCLINTOCK @ MISSOURI EB,38.510881,-89.962207
