date,ward,precinct,race,type,candidate,votes
2015-04-07,02,04,PRES OF BOA,Polling,LEWIS REED,75
2015-04-07,02,04,PRES OF BOA,Polling,ERIK SHELQUIST,3
2015-04-07,02,04,PRES OF BOA,Polling,JEFFREY SCHAEFER,1
2015-04-07,02,04,PRES OF BOA,ABSENTEE,LEWIS REED,4
2015-04-07,02,04,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,0
2015-04-07,02,04,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,0
2015-04-07,02,04,PRES OF BOA,PROVISIONAL,LEWIS REED,0
2015-04-07,02,04,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
2015-04-07,02,04,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
2015-04-07,02,04,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
2015-04-07,02,04,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
2015-04-07,02,04,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
2015-04-07,02,04,PRES OF BOA,Total,LEWIS REED,79
2015-04-07,02,04,PRES OF BOA,Total,ERIK SHELQUIST,3
2015-04-07,02,04,PRES OF BOA,Total,JEFFREY SCHAEFER,1
2015-04-07,02,05,PRES OF BOA,Polling,LEWIS REED,189
2015-04-07,02,05,PRES OF BOA,Polling,ERIK SHELQUIST,4
2015-04-07,02,05,PRES OF BOA,Polling,JEFFREY SCHAEFER,4
2015-04-07,02,05,PRES OF BOA,ABSENTEE,LEWIS REED,24
2015-04-07,02,05,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,1
2015-04-07,02,05,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,0
2015-04-07,02,05,PRES OF BOA,PROVISIONAL,LEWIS REED,0
2015-04-07,02,05,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
2015-04-07,02,05,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
2015-04-07,02,05,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
2015-04-07,02,05,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
2015-04-07,02,05,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
2015-04-07,02,05,PRES OF BOA,Total,LEWIS REED,213
2015-04-07,02,05,PRES OF BOA,Total,ERIK SHELQUIST,5
2015-04-07,02,05,PRES OF BOA,Total,JEFFREY SCHAEFER,4
2015-04-07,02,06,PRES OF BOA,Polling,LEWIS REED,8
2015-04-07,02,06,PRES OF BOA,Polling,ERIK SHELQUIST,0
2015-04-07,02,06,PRES OF BOA,Polling,JEFFREY SCHAEFER,2
2015-04-07,02,06,PRES OF BOA,ABSENTEE,LEWIS REED,0
2015-04-07,02,06,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,0
2015-04-07,02,06,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,0
2015-04-07,02,06,PRES OF BOA,PROVISIONAL,LEWIS REED,0
2015-04-07,02,06,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
2015-04-07,02,06,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
2015-04-07,02,06,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
2015-04-07,02,06,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
2015-04-07,02,06,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
2015-04-07,02,06,PRES OF BOA,Total,LEWIS REED,8
2015-04-07,02,06,PRES OF BOA,Total,ERIK SHELQUIST,0
2015-04-07,02,06,PRES OF BOA,Total,JEFFREY SCHAEFER,2
2015-04-07,02,07,PRES OF BOA,Polling,LEWIS REED,170
2015-04-07,02,07,PRES OF BOA,Polling,ERIK SHELQUIST,6
2015-04-07,02,07,PRES OF BOA,Polling,JEFFREY SCHAEFER,7
2015-04-07,02,07,PRES OF BOA,ABSENTEE,LEWIS REED,22
2015-04-07,02,07,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,0
2015-04-07,02,07,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,0
2015-04-07,02,07,PRES OF BOA,PROVISIONAL,LEWIS REED,0
2015-04-07,02,07,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
2015-04-07,02,07,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
2015-04-07,02,07,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
2015-04-07,02,07,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
2015-04-07,02,07,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
2015-04-07,02,07,PRES OF BOA,Total,LEWIS REED,192
2015-04-07,02,07,PRES OF BOA,Total,ERIK SHELQUIST,6
2015-04-07,02,07,PRES OF BOA,Total,JEFFREY SCHAEFER,7
2015-04-07,02,08,PRES OF BOA,Polling,LEWIS REED,156
2015-04-07,02,08,PRES OF BOA,Polling,ERIK SHELQUIST,0
