ward,precinct,race,type,candidate,votes
03,02,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,0
03,02,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,0
03,02,PRES OF BOA,PROVISIONAL,LEWIS REED,0
03,02,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
03,02,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
03,02,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
03,02,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
03,02,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
03,02,PRES OF BOA,Total,LEWIS REED,94
03,02,PRES OF BOA,Total,ERIK SHELQUIST,1
03,02,PRES OF BOA,Total,JEFFREY SCHAEFER,0
03,03,PRES OF BOA,Polling,LEWIS REED,32
03,03,PRES OF BOA,Polling,ERIK SHELQUIST,2
03,03,PRES OF BOA,Polling,JEFFREY SCHAEFER,0
03,03,PRES OF BOA,ABSENTEE,LEWIS REED,15
03,03,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,0
03,03,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,0
03,03,PRES OF BOA,PROVISIONAL,LEWIS REED,0
03,03,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
03,03,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
03,03,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
03,03,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
03,03,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
03,03,PRES OF BOA,Total,LEWIS REED,47
03,03,PRES OF BOA,Total,ERIK SHELQUIST,2
03,03,PRES OF BOA,Total,JEFFREY SCHAEFER,0
03,04,PRES OF BOA,Polling,LEWIS REED,15
03,04,PRES OF BOA,Polling,ERIK SHELQUIST,0
03,04,PRES OF BOA,Polling,JEFFREY SCHAEFER,1
03,04,PRES OF BOA,ABSENTEE,LEWIS REED,3
03,04,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,0
03,04,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,0
03,04,PRES OF BOA,PROVISIONAL,LEWIS REED,0
03,04,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
03,04,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
03,04,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
03,04,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
03,04,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
03,04,PRES OF BOA,Total,LEWIS REED,18
03,04,PRES OF BOA,Total,ERIK SHELQUIST,0
03,04,PRES OF BOA,Total,JEFFREY SCHAEFER,1
03,05,PRES OF BOA,Polling,LEWIS REED,33
03,05,PRES OF BOA,Polling,ERIK SHELQUIST,0
03,05,PRES OF BOA,Polling,JEFFREY SCHAEFER,0
03,05,PRES OF BOA,ABSENTEE,LEWIS REED,7
03,05,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,0
03,05,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,0
03,05,PRES OF BOA,PROVISIONAL,LEWIS REED,0
03,05,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
03,05,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
03,05,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
03,05,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
03,05,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
03,05,PRES OF BOA,Total,LEWIS REED,40
03,05,PRES OF BOA,Total,ERIK SHELQUIST,0
03,05,PRES OF BOA,Total,JEFFREY SCHAEFER,0
03,06,PRES OF BOA,Polling,LEWIS REED,62
03,06,PRES OF BOA,Polling,ERIK SHELQUIST,1
03,06,PRES OF BOA,Polling,JEFFREY SCHAEFER,0
03,06,PRES OF BOA,ABSENTEE,LEWIS REED,8
03,06,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,0
03,06,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,0
03,06,PRES OF BOA,PROVISIONAL,LEWIS REED,0
03,06,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
03,06,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
03,06,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
03,06,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
03,06,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
03,06,PRES OF BOA,Total,LEWIS REED,70
03,06,PRES OF BOA,Total,ERIK SHELQUIST,1
03,06,PRES OF BOA,Total,JEFFREY SCHAEFER,0
03,07,PRES OF BOA,Polling,LEWIS REED,60
03,07,PRES OF BOA,Polling,ERIK SHELQUIST,1
03,07,PRES OF BOA,Polling,JEFFREY SCHAEFER,2
03,07,PRES OF BOA,ABSENTEE,LEWIS REED,3
03,07,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,0
03,07,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,0
03,07,PRES OF BOA,PROVISIONAL,LEWIS REED,0
03,07,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
03,07,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
03,07,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
03,07,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
03,07,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
03,07,PRES OF BOA,Total,LEWIS REED,63
03,07,PRES OF BOA,Total,ERIK SHELQUIST,1
03,07,PRES OF BOA,Total,JEFFREY SCHAEFER,2
03,08,PRES OF BOA,Polling,LEWIS REED,25
03,08,PRES OF BOA,Polling,ERIK SHELQUIST,1
03,08,PRES OF BOA,Polling,JEFFREY SCHAEFER,1
03,08,PRES OF BOA,ABSENTEE,LEWIS REED,9
03,08,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,0
03,08,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,0
03,08,PRES OF BOA,PROVISIONAL,LEWIS REED,0
03,08,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
03,08,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
03,08,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
03,08,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
03,08,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
03,08,PRES OF BOA,Total,LEWIS REED,34
03,08,PRES OF BOA,Total,ERIK SHELQUIST,1
03,08,PRES OF BOA,Total,JEFFREY SCHAEFER,1
03,09,PRES OF BOA,Polling,LEWIS REED,20
03,09,PRES OF BOA,Polling,ERIK SHELQUIST,4
03,09,PRES OF BOA,Polling,JEFFREY SCHAEFER,5
03,09,PRES OF BOA,ABSENTEE,LEWIS REED,5
03,09,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,3
03,09,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,2
03,09,PRES OF BOA,PROVISIONAL,LEWIS REED,0
03,09,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
03,09,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
03,09,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
03,09,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
03,09,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
03,09,PRES OF BOA,Total,LEWIS REED,25
03,09,PRES OF BOA,Total,ERIK SHELQUIST,7
03,09,PRES OF BOA,Total,JEFFREY SCHAEFER,7
04,01,PRES OF BOA,Polling,LEWIS REED,68
04,01,PRES OF BOA,Polling,ERIK SHELQUIST,1
04,01,PRES OF BOA,Polling,JEFFREY SCHAEFER,0
04,01,PRES OF BOA,ABSENTEE,LEWIS REED,32
04,01,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,0
04,01,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,0
04,01,PRES OF BOA,PROVISIONAL,LEWIS REED,0
04,01,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
04,01,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
04,01,PRES OF BOA,HOUSE VOTES,LEWIS REED,1
04,01,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
04,01,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
04,01,PRES OF BOA,Total,LEWIS REED,101
04,01,PRES OF BOA,Total,ERIK SHELQUIST,1
04,01,PRES OF BOA,Total,JEFFREY SCHAEFER,0
04,02,PRES OF BOA,Polling,LEWIS REED,104
04,02,PRES OF BOA,Polling,ERIK SHELQUIST,0
04,02,PRES OF BOA,Polling,JEFFREY SCHAEFER,2
04,02,PRES OF BOA,ABSENTEE,LEWIS REED,22
04,02,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,0
04,02,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,0
04,02,PRES OF BOA,PROVISIONAL,LEWIS REED,0
04,02,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
04,02,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
04,02,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
04,02,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
04,02,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
04,02,PRES OF BOA,Total,LEWIS REED,126
04,02,PRES OF BOA,Total,ERIK SHELQUIST,0
04,02,PRES OF BOA,Total,JEFFREY SCHAEFER,2
04,03,PRES OF BOA,Polling,LEWIS REED,46
04,03,PRES OF BOA,Polling,ERIK SHELQUIST,0
04,03,PRES OF BOA,Polling,JEFFREY SCHAEFER,0
04,03,PRES OF BOA,ABSENTEE,LEWIS REED,5
04,03,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,0
04,03,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,0
04,03,PRES OF BOA,PROVISIONAL,LEWIS REED,0
04,03,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
04,03,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
04,03,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
04,03,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
04,03,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
04,03,PRES OF BOA,Total,LEWIS REED,51
04,03,PRES OF BOA,Total,ERIK SHELQUIST,0
04,03,PRES OF BOA,Total,JEFFREY SCHAEFER,0
04,04,PRES OF BOA,Polling,LEWIS REED,95
04,04,PRES OF BOA,Polling,ERIK SHELQUIST,3
04,04,PRES OF BOA,Polling,JEFFREY SCHAEFER,4
04,04,PRES OF BOA,ABSENTEE,LEWIS REED,6
04,04,PRES OF BOA,ABSENTEE,ERIK SHELQUIST,0
04,04,PRES OF BOA,ABSENTEE,JEFFREY SCHAEFER,0
04,04,PRES OF BOA,PROVISIONAL,LEWIS REED,0
04,04,PRES OF BOA,PROVISIONAL,ERIK SHELQUIST,0
04,04,PRES OF BOA,PROVISIONAL,JEFFREY SCHAEFER,0
04,04,PRES OF BOA,HOUSE VOTES,LEWIS REED,0
04,04,PRES OF BOA,HOUSE VOTES,ERIK SHELQUIST,0
04,04,PRES OF BOA,HOUSE VOTES,JEFFREY SCHAEFER,0
04,04,PRES OF BOA,Total,LEWIS REED,101
04,04,PRES OF BOA,Total,ERIK SHELQUIST,3
04,04,PRES OF BOA,Total,JEFFREY SCHAEFER,4
04,05,PRES OF BOA,Polling,LEWIS REED,63
