date,ward,precinct,registered,polling,absentee,provisional,house,total
2015-03-03,21,06,904,47,16,0,0,63
2015-03-03,21,07,565,21,6,0,0,27
2015-03-03,21,08,751,43,11,0,0,54
2015-03-03,21,09,905,28,12,0,0,40
2015-03-03,22,01,511,30,4,0,0,34
2015-03-03,22,02,1162,70,23,0,0,93
2015-03-03,22,03,1172,90,20,0,0,110
2015-03-03,22,04,813,60,34,0,0,94
2015-03-03,22,05,745,38,13,0,0,51
2015-03-03,22,06,1169,102,14,0,0,116
2015-03-03,22,07,518,36,4,0,0,40
2015-03-03,22,08,190,9,5,0,0,14
2015-03-03,23,01,1450,76,7,0,0,83
2015-03-03,23,02,1117,51,13,0,0,64
2015-03-03,23,03,749,37,2,0,0,39
2015-03-03,23,04,1076,55,5,0,0,60
2015-03-03,23,05,873,45,5,0,0,50
2015-03-03,23,06,853,40,7,0,0,47
2015-03-03,23,07,837,35,10,0,0,45
2015-03-03,23,08,841,32,2,0,0,34
2015-03-03,23,09,256,11,2,0,0,13
2015-03-03,24,01,980,196,8,0,0,204
2015-03-03,24,02,706,153,7,0,0,160
2015-03-03,24,03,833,79,6,0,0,85
2015-03-03,24,04,1064,159,10,0,0,169
2015-03-03,24,05,1095,93,8,0,0,101
2015-03-03,24,06,1078,177,4,0,0,181
2015-03-03,24,07,992,140,8,0,0,148
2015-03-03,24,08,323,45,3,0,0,48
2015-03-03,25,01,1261,42,11,0,0,53
2015-03-03,25,02,1402,47,11,0,0,58
2015-03-03,25,03,739,15,4,0,0,19
2015-03-03,25,04,1397,48,7,0,0,55
2015-03-03,25,05,552,16,3,0,0,19
2015-03-03,25,06,27,0,0,0,0,0
2015-03-03,26,01,776,102,20,0,0,122
2015-03-03,26,02,667,72,21,0,0,93
2015-03-03,26,03,1695,197,20,0,0,217
2015-03-03,26,04,1228,214,52,0,0,266
2015-03-03,26,05,1042,149,8,0,0,157
2015-03-03,26,06,990,132,44,0,0,176
2015-03-03,27,01,1186,62,16,0,0,78
2015-03-03,27,02,839,39,4,0,0,43
2015-03-03,27,03,1087,27,6,0,0,33
2015-03-03,27,04,957,26,9,0,0,35
2015-03-03,27,05,689,13,13,0,0,26
2015-03-03,27,06,1227,34,12,0,0,46
2015-03-03,27,07,1099,72,18,0,0,90
2015-03-03,27,08,695,48,9,0,0,57
2015-03-03,28,01,590,113,7,0,0,120
2015-03-03,28,02,490,72,13,0,0,85
2015-03-03,28,04,541,65,9,0,0,74
2015-03-03,28,05,933,105,8,0,0,113
2015-03-03,28,06,790,109,8,0,0,117
2015-03-03,28,07,610,85,1,0,0,86
2015-03-03,28,08,1015,106,4,0,0,110
2015-03-03,28,09,448,64,5,0,0,69
2015-03-03,28,10,974,192,14,0,0,206
