ward,precinct,race,type,candidate,votes
03,04,Y,Total,CLAIRE McCASKILL,382
03,04,US SENATOR,Total,JAPHETH CAMPBELL,0
03,05,US SENATOR,Polling,JOSH HAWLEY,3
03,05,Y,Polling,CLAIRE McCASKILL,228
03,05,US SENATOR,Polling,JAPHETH CAMPBELL,0
03,05,US SENATOR,ABSENTEE,JOSH HAWLEY,0
03,05,Y,ABSENTEE,CLAIRE McCASKILL,8
03,05,US SENATOR,ABSENTEE,JAPHETH CAMPBELL,0
03,05,US SENATOR,PROVISIONAL,JOSH HAWLEY,0
03,05,Y,PROVISIONAL,CLAIRE McCASKILL,0
03,05,US SENATOR,PROVISIONAL,JAPHETH CAMPBELL,0
03,05,US SENATOR,HOUSE VOTES,JOSH HAWLEY,0
03,05,Y,HOUSE VOTES,CLAIRE McCASKILL,0
03,05,US SENATOR,HOUSE VOTES,JAPHETH CAMPBELL,0
03,05,US SENATOR,Total,JOSH HAWLEY,3
03,05,Y,Total,CLAIRE McCASKILL,236
03,05,US SENATOR,Total,JAPHETH CAMPBELL,0
03,06,US SENATOR,Polling,JOSH HAWLEY,7
03,06,Y,Polling,CLAIRE McCASKILL,279
03,06,US SENATOR,Polling,JAPHETH CAMPBELL,2
03,06,US SENATOR,ABSENTEE,JOSH HAWLEY,0
03,06,Y,ABSENTEE,CLAIRE McCASKILL,31
03,06,US SENATOR,ABSENTEE,JAPHETH CAMPBELL,1
03,06,US SENATOR,PROVISIONAL,JOSH HAWLEY,0
03,06,Y,PROVISIONAL,CLAIRE McCASKILL,0
03,06,US SENATOR,PROVISIONAL,JAPHETH CAMPBELL,0
03,06,US SENATOR,HOUSE VOTES,JOSH HAWLEY,0
03,06,Y,HOUSE VOTES,CLAIRE McCASKILL,0
03,06,US SENATOR,HOUSE VOTES,JAPHETH CAMPBELL,0
03,06,US SENATOR,Total,JOSH HAWLEY,7
03,06,Y,Total,CLAIRE McCASKILL,310
03,06,US SENATOR,Total,JAPHETH CAMPBELL,3
03,07,US SENATOR,Polling,JOSH HAWLEY,14
03,07,Y,Polling,CLAIRE McCASKILL,390
03,07,US SENATOR,Polling,JAPHETH CAMPBELL,1
03,07,US SENATOR,ABSENTEE,JOSH HAWLEY,0
03,07,Y,ABSENTEE,CLAIRE McCASKILL,19
03,07,US SENATOR,ABSENTEE,JAPHETH CAMPBELL,0
03,07,US SENATOR,PROVISIONAL,JOSH HAWLEY,0
03,07,Y,PROVISIONAL,CLAIRE McCASKILL,0
03,07,US SENATOR,PROVISIONAL,JAPHETH CAMPBELL,0
03,07,US SENATOR,HOUSE VOTES,JOSH HAWLEY,0
03,07,Y,HOUSE VOTES,CLAIRE McCASKILL,0
03,07,US SENATOR,HOUSE VOTES,JAPHETH CAMPBELL,0
03,07,US SENATOR,Total,JOSH HAWLEY,14
03,07,Y,Total,CLAIRE McCASKILL,409
03,07,US SENATOR,Total,JAPHETH CAMPBELL,1
03,08,US SENATOR,Polling,JOSH HAWLEY,3
03,08,Y,Polling,CLAIRE McCASKILL,187
03,08,US SENATOR,Polling,JAPHETH CAMPBELL,1
03,08,US SENATOR,ABSENTEE,JOSH HAWLEY,1
03,08,Y,ABSENTEE,CLAIRE McCASKILL,17
03,08,US SENATOR,ABSENTEE,JAPHETH CAMPBELL,0
03,08,US SENATOR,PROVISIONAL,JOSH HAWLEY,0
03,08,Y,PROVISIONAL,CLAIRE McCASKILL,0
03,08,US SENATOR,PROVISIONAL,JAPHETH CAMPBELL,0
03,08,US SENATOR,HOUSE VOTES,JOSH HAWLEY,0
03,08,Y,HOUSE VOTES,CLAIRE McCASKILL,0
03,08,US SENATOR,HOUSE VOTES,JAPHETH CAMPBELL,0
03,08,US SENATOR,Total,JOSH HAWLEY,4
03,08,Y,Total,CLAIRE McCASKILL,204
03,08,US SENATOR,Total,JAPHETH CAMPBELL,1
03,09,US SENATOR,Polling,JOSH HAWLEY,30
03,09,Y,Polling,CLAIRE McCASKILL,161
03,09,US SENATOR,Polling,JAPHETH CAMPBELL,10
03,09,US SENATOR,ABSENTEE,JOSH HAWLEY,2
03,09,Y,ABSENTEE,CLAIRE McCASKILL,11
03,09,US SENATOR,ABSENTEE,JAPHETH CAMPBELL,0
03,09,US SENATOR,PROVISIONAL,JOSH HAWLEY,0
03,09,Y,PROVISIONAL,CLAIRE McCASKILL,0
03,09,US SENATOR,PROVISIONAL,JAPHETH CAMPBELL,0
03,09,US SENATOR,HOUSE VOTES,JOSH HAWLEY,0
03,09,Y,HOUSE VOTES,CLAIRE McCASKILL,0
03,09,US SENATOR,HOUSE VOTES,JAPHETH CAMPBELL,0
03,09,US SENATOR,Total,JOSH HAWLEY,32
03,09,Y,Total,CLAIRE McCASKILL,172
03,09,US SENATOR,Total,JAPHETH CAMPBELL,10
04,01,US SENATOR,Polling,JOSH HAWLEY,7
04,01,Y,Polling,CLAIRE McCASKILL,259
04,01,US SENATOR,Polling,JAPHETH CAMPBELL,1
04,01,US SENATOR,ABSENTEE,JOSH HAWLEY,1
04,01,Y,ABSENTEE,CLAIRE McCASKILL,56
04,01,US SENATOR,ABSENTEE,JAPHETH CAMPBELL,0
04,01,US SENATOR,PROVISIONAL,JOSH HAWLEY,0
04,01,Y,PROVISIONAL,CLAIRE McCASKILL,1
